rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
589,CHP03707,石胆草,0.790479381873471,6.0,6.0,3.0,3.0
590,CHP02500,罗汉松实,0.7902151092583533,17.0,17.0,9.0,9.0
591,CHP00336,茶子,0.7900736282598059,13.0,13.0,7.0,6.0
592,CHP04914,岩黄连,0.7900214078553954,4.0,4.0,2.0,2.0
593,CHP01543,槲寄生,0.7900108036616272,61.0,61.0,36.0,36.0
594,CHP01840,假百合,0.7899741113317024,5.0,5.0,3.0,3.0
595,CHP01946,金挖耳,0.789809466921195,3.0,3.0,2.0,2.0
596,CHP02353,灵香草,0.7898023352770982,26.0,26.0,15.0,15.0
597,CHP00970,鄂北贝母,0.7897863177764187,8.0,8.0,6.0,6.0
598,CHP00693,地锦,0.789747418748471,6.0,6.0,3.0,3.0
599,CHP02125,苦木,0.789706459166327,62.0,62.0,35.0,34.0
600,CHP02942,南酸枣,0.7896677485696811,4.0,4.0,2.0,2.0
601,CHP00376,赤瓟,0.7896414377764187,8.0,8.0,5.0,5.0
602,CHP06117,蘑菇,0.7896085076178827,11.0,11.0,6.0,5.0
603,CHP05848,黑蚂蚁,0.7895167009068669,1.0,1.0,1.0,1.0
604,CHP00381,赤麻,0.7894517784596566,3.0,3.0,2.0,2.0
605,CHP02657,猫眼草,0.7892981354993884,30.0,30.0,19.0,19.0
606,CHP02121,苦楝叶,0.7892326669211951,3.0,3.0,2.0,2.0
607,CHP04904,岩败酱,0.789132777690426,3.0,3.0,2.0,2.0
608,CHP00191,斑鸠菊,0.7891067959367356,22.0,22.0,13.0,13.0
609,CHP00371,秤钩风,0.7890876584987768,10.0,10.0,5.0,5.0
610,CHP00483,大车前,0.788984178063727,21.0,21.0,11.0,11.0
611,CHP03975,松子仁,0.7889045063990214,15.0,15.0,11.0,11.0
612,CHP02355,铃兰,0.7888025403325177,20.0,20.0,10.0,10.0
613,CHP04903,岩白菜,0.7887158515365797,3.0,3.0,2.0,2.0
614,CHP01519,胡萝卜子,0.7886602122636892,43.0,43.0,27.0,27.0
615,CHP05834,蛤蚧,0.7885990623058104,3.0,3.0,2.0,2.0
616,CHP00208,半枫荷,0.7885747392288873,3.0,3.0,2.0,2.0
617,CHP00673,地枫皮,0.7884401922723566,56.0,56.0,34.0,34.0
618,CHP03907,水蜈蚣,0.788306666921195,3.0,3.0,2.0,2.0
619,CHP05139,一枝蒿,0.7879490021411097,4.0,4.0,3.0,3.0
620,CHP02494,罗锅底,0.7879170805250283,9.0,9.0,5.0,5.0
621,CHP02109,苦蒿,0.7878852159079789,12.0,12.0,6.0,6.0
622,CHP01312,鬼针草,0.7877075635990215,15.0,15.0,10.0,10.0
