rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
140,CHP02439,耧斗菜,1.0,16.0,16.0,10.0,10.0
141,CHP02342,裂果薯,1.0,17.0,17.0,9.0,9.0
142,CHP02355,铃兰,1.0,20.0,20.0,10.0,10.0
143,CHP02356,凌霄,1.0,6.0,6.0,2.0,2.0
144,CHP02371,柳穿鱼,1.0,9.0,9.0,4.0,4.0
145,CHP02998,牛角瓜,1.0,2.0,2.0,2.0,2.0
146,CHP03002,牛筋果,1.0,7.0,7.0,1.0,1.0
147,CHP03013,牛舌草,1.0,14.0,14.0,8.0,8.0
148,CHP03018,牛尾菜,1.0,1.0,1.0,1.0,1.0
149,CHP02427,龙眼肉,1.0,1.0,1.0,1.0,1.0
150,CHP02429,龙眼叶,1.0,6.0,6.0,3.0,3.0
151,CHP05030,野甘草,1.0,18.0,18.0,10.0,10.0
152,CHP04975,羊踯躅,1.0,15.0,15.0,14.0,14.0
153,CHP04984,杨梅,1.0,9.0,9.0,6.0,6.0
154,CHP00628,胆木,1.0,13.0,13.0,5.0,5.0
155,CHP00635,淡竹叶,1.0,1.0,1.0,1.0,1.0
156,CHP00595,大叶糖胶树,1.0,45.0,45.0,29.0,27.0
157,CHP05061,野马追,1.0,17.0,17.0,11.0,10.0
158,CHP05066,野茉莉,1.0,12.0,12.0,12.0,12.0
159,CHP05070,野木瓜,1.0,6.0,6.0,1.0,1.0
160,CHP05010,椰子瓤,1.0,2.0,2.0,1.0,1.0
161,CHP05012,野百合,1.0,3.0,3.0,2.0,2.0
162,CHP00418,川西獐牙菜,1.0,2.0,2.0,1.0,1.0
163,CHP00428,春福寿草,1.0,3.0,3.0,3.0,3.0
164,CHP00430,椿白皮,1.0,1.0,1.0,1.0,1.0
165,CHP00463,楤木,1.0,4.0,4.0,4.0,4.0
166,CHP00466,粗榧子,1.0,8.0,8.0,4.0,4.0
167,CHP00433,莼菜,1.0,3.0,3.0,1.0,1.0
168,CHP00444,刺果苏木,1.0,36.0,36.0,24.0,24.0
169,CHP03022,牛西西,1.0,9.0,9.0,5.0,5.0
170,CHP03027,牛心茄子,1.0,5.0,5.0,3.0,3.0
171,CHP03038,糯稻根,1.0,13.0,13.0,7.0,7.0
172,CHP03050,欧当归,1.0,3.0,3.0,1.0,1.0
173,CHP02987,牛扁,1.0,3.0,3.0,3.0,3.0
174,CHP02997,牛耳枫子,1.0,6.0,6.0,4.0,4.0
175,CHP03088,蟛蜞菊,1.0,7.0,7.0,5.0,5.0
176,CHP03094,披针叶野决明,1.0,5.0,5.0,3.0,2.0
177,CHP03097,皮哨子,1.0,5.0,5.0,3.0,3.0
178,CHP03098,枇杷,1.0,6.0,6.0,3.0,3.0
179,CHP03056,藕节,1.0,1.0,1.0,1.0,1.0
180,CHP03077,泡桐果,1.0,2.0,2.0,1.0,1.0
181,CHP02218,莨菪根,1.0,4.0,4.0,2.0,2.0
182,CHP02239,老鼠瓜,1.0,5.0,5.0,2.0,2.0
183,CHP02240,老鼠簕,1.0,20.0,20.0,12.0,12.0
184,CHP03087,蓬子菜,1.0,4.0,4.0,2.0,2.0
185,CHP03116,萍蓬草,1.0,6.0,6.0,4.0,4.0
186,CHP02304,莲房,1.0,5.0,5.0,5.0,5.0
187,CHP02282,荔枝叶,1.0,6.0,6.0,5.0,5.0
188,CHP04866,鸦胆子,1.0,12.0,12.0,9.0,9.0
189,CHP04867,鸦片,1.0,9.0,9.0,2.0,2.0
190,CHP04869,鸭儿芹,1.0,1.0,1.0,1.0,1.0
191,CHP00742,滇黄芩,1.0,10.0,10.0,5.0,5.0
192,CHP04920,岩筋菜,1.0,4.0,4.0,4.0,4.0
193,CHP04933,岩乌头,1.0,1.0,1.0,1.0,1.0
194,CHP04900,芫花根,1.0,3.0,3.0,2.0,2.0
195,CHP00541,大青,1.0,2.0,2.0,1.0,1.0
196,CHP04956,羊耳蒜,1.0,2.0,2.0,1.0,1.0
197,CHP04958,羊角拗,1.0,10.0,10.0,5.0,5.0
198,CHP04959,羊角拗子,1.0,4.0,4.0,3.0,3.0
199,CHP04971,羊蹄,1.0,4.0,4.0,2.0,2.0
200,CHP00560,大头橐吾,1.0,6.0,6.0,3.0,3.0
201,CHP00571,大叶桉叶,1.0,7.0,7.0,2.0,2.0
202,CHP00500,大果大戟,1.0,16.0,16.0,10.0,10.0
203,CHP00508,大花糙苏,1.0,2.0,2.0,1.0,1.0
204,CHP00514,大黄花,1.0,9.0,9.0,6.0,6.0
205,CHP04761,斜基粗叶木,1.0,4.0,4.0,2.0,2.0
206,CHP04772,心叶荆芥,1.0,3.0,3.0,1.0,1.0
207,CHP04682,小蓟,1.0,5.0,5.0,3.0,3.0
208,CHP04693,小连翘,1.0,6.0,6.0,3.0,2.0
209,CHP04698,小米草,1.0,2.0,2.0,1.0,1.0
210,CHP04839,雪莲花,1.0,4.0,4.0,3.0,3.0
211,CHP04848,血风藤,1.0,10.0,10.0,3.0,1.0
212,CHP04851,血竭,1.0,4.0,4.0,1.0,1.0
