rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
890,CHP00222,报春花,0.38715660576121697,1.45016033,0.725080165,0.83065003,0.0,0.5
891,CHP00433,莼菜,0.38714938524576714,2.27980757,0.7599358566666666,0.9143628,1.0,0.3333333333333333
892,CHP03992,粟米草,0.3870398099051442,5.9386294799999995,0.7423286849999999,0.8909282333333334,0.0,0.375
893,CHP01183,茖葱,0.3870032838798099,4.43138723,0.7385645383333334,0.9240021300000001,2.0,0.3333333333333333
894,CHP02562,马鞭草,0.3869766510990681,28.35412445,0.6750982011904763,0.8899619557142857,6.0,0.3333333333333333
895,CHP03193,前胡,0.38666170501483227,59.190311779999995,0.6963566091764706,0.8560570684210527,2.0,0.2235294117647059
896,CHP05066,野茉莉,0.38656720350468077,9.331296909999999,0.7776080758333332,0.8692099725,1.0,0.3333333333333333
897,CHP01486,红藤,0.38656595405417155,21.3221243,0.7352456655172414,0.857660801,2.0,0.3448275862068966
898,CHP04602,向日葵,0.3864969121613791,4.617779630000001,0.7696299383333335,0.896764765,0.0,0.3333333333333333
899,CHP06113,马勃,0.3864676217528741,14.49521966,0.724760983,0.8535663575,1.0,0.4
900,CHP04571,香茅,0.38644980967395964,2.31125471,0.7704182366666666,0.90027297,1.0,0.3333333333333333
901,CHP01273,贯众,0.3863227449314394,26.269444380000003,0.7099849832432433,0.8630792023076922,1.0,0.35135135135135137
902,CHP04174,通草,0.3862647600320466,18.62342177,0.7759759070833333,0.84045778875,0.0,0.3333333333333333
903,CHP06134,云芝,0.38623098300484954,10.9140725,0.68212953125,0.8758628328571428,2.0,0.4375
904,CHP02623,曼陀罗叶,0.386191212390783,10.68674775,0.763339125,0.85901899,1.0,0.35714285714285715
905,CHP02618,满山红,0.38601355799468906,29.886008880000002,0.6950234623255814,0.8483372387499999,1.0,0.37209302325581395
906,CHP04647,小构树,0.3860126654645963,15.639304130000001,0.7447287680952381,0.8738327528571429,2.0,0.3333333333333333
907,CHP00326,侧柏叶,0.38591564554063273,59.38673939999999,0.6598526599999999,0.85929803375,1.0,0.26666666666666666
908,CHP04268,娃儿藤,0.3856616454626251,4.0862891999999995,0.6810481999999999,0.8580220566666666,0.0,0.5
