rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1220,CHP00936,多裂委陵菜,2.49530376,3.0,3.0,2.0,0.0
1221,CHP01347,韩信草,2.49455437,4.0,4.0,1.0,0.0
1222,CHP03075,泡桐,2.49198731,4.0,4.0,0.0,0.0
1223,CHP05840,海马,2.49012338,3.0,3.0,3.0,0.0
1224,CHP05834,蛤蚧,2.4885320699999998,3.0,3.0,2.0,0.0
1225,CHP04550,香柏,2.4862218,3.0,3.0,2.0,0.0
1226,CHP00061,白刺,2.48601507,4.0,4.0,0.0,0.0
1227,CHP04404,五加皮,2.4794789,3.0,3.0,2.0,0.0
1228,CHP02121,苦楝叶,2.47713076,3.0,3.0,2.0,2.0
1229,CHP04900,芫花根,2.4720349699999997,3.0,3.0,2.0,0.0
1230,CHP00472,打碗花,2.47129059,3.0,3.0,2.0,1.0
1231,CHP02258,棱子芹,2.46485867,4.0,4.0,0.0,0.0
1232,CHP05553,猪屎豆,2.4620962,3.0,3.0,2.0,0.0
1233,CHP05329,越橘叶,2.45856227,3.0,3.0,2.0,1.0
1234,CHP05456,浙贝母,2.45739143,3.0,3.0,1.0,1.0
1235,CHP00208,半枫荷,2.4571673,3.0,3.0,2.0,0.0
1236,CHP01946,金挖耳,2.45683194,3.0,3.0,2.0,0.0
1237,CHP01566,花锚,2.4515341999999998,4.0,4.0,2.0,0.0
1238,CHP03360,蕤仁,2.45025409,3.0,3.0,1.0,1.0
1239,CHP05547,猪毛菜,2.44437429,4.0,4.0,0.0,0.0
1240,CHP03656,蛇婆子,2.44127494,3.0,3.0,2.0,0.0
1241,CHP00095,白花藤,2.4150545500000002,3.0,3.0,1.0,0.0
1242,CHP04170,铁仔,2.41348625,3.0,3.0,1.0,1.0
1243,CHP01327,桂竹香,2.4093706999999998,3.0,3.0,2.0,0.0
1244,CHP00605,大叶醉鱼草,2.3958557600000003,4.0,4.0,0.0,0.0
1245,CHP05087,野鸦椿,2.393694,3.0,3.0,1.0,0.0
1246,CHP04329,问荆,2.3923251,4.0,4.0,1.0,0.0
1247,CHP01822,蕺叶秋海棠,2.3921115,3.0,3.0,2.0,1.0
1248,CHP04772,心叶荆芥,2.38563712,3.0,3.0,1.0,1.0
1249,CHP01450,红筷子,2.38010258,3.0,3.0,1.0,0.0
1250,CHP03970,松叶,2.37857724,4.0,4.0,0.0,0.0
1251,CHP01030,分心木,2.37388039,4.0,4.0,2.0,0.0
1252,CHP05042,野花椒叶,2.35944135,4.0,4.0,0.0,0.0
1253,CHP04903,岩白菜,2.35637311,3.0,3.0,1.0,0.0
1254,CHP04127,甜叶菊,2.3548006,3.0,3.0,1.0,1.0
1255,CHP04316,卫矛,2.35221389,3.0,3.0,1.0,1.0
1256,CHP01369,鹤草芽,2.3411986000000002,3.0,3.0,1.0,0.0
1257,CHP01876,胶质鼠尾草,2.3402713,3.0,3.0,1.0,1.0
1258,CHP03907,水蜈蚣,2.32561509,3.0,3.0,2.0,0.0
1259,CHP03010,牛奶树,2.3245114,4.0,4.0,0.0,0.0
1260,CHP03685,生漆,2.32076596,3.0,3.0,0.0,0.0
1261,CHP04571,香茅,2.31125471,3.0,3.0,1.0,1.0
1262,CHP03659,蛇藤,2.3098053,3.0,3.0,1.0,0.0
1263,CHP00902,断节参,2.30334759,3.0,3.0,1.0,0.0
1264,CHP03094,披针叶野决明,2.3000570500000004,5.0,5.0,0.0,0.0
1265,CHP01159,杠香藤,2.2984535,3.0,3.0,1.0,0.0
1266,CHP00433,莼菜,2.27980757,3.0,3.0,1.0,1.0
1267,CHP02054,绢毛蔷薇,2.2789291599999997,3.0,3.0,1.0,0.0
1268,CHP02945,南天竹根,2.26862504,5.0,5.0,0.0,0.0
1269,CHP04904,岩败酱,2.2680820400000004,3.0,3.0,1.0,0.0
1270,CHP03194,芡实,2.26211329,3.0,3.0,2.0,1.0
1271,CHP01853,剪秋罗,2.2462449500000004,3.0,3.0,1.0,1.0
1272,CHP05482,蜘蛛抱蛋,2.2357256999999997,3.0,3.0,1.0,0.0
1273,CHP05195,罂粟壳,2.23121817,3.0,3.0,2.0,1.0
1274,CHP01570,花生油,2.23075624,3.0,3.0,2.0,0.0
1275,CHP04880,鸭跖草,2.2243864999999996,4.0,4.0,0.0,0.0
1276,CHP01885,角茴香,2.2232329,4.0,4.0,0.0,0.0
1277,CHP01066,凤尾茶,2.2157653799999997,4.0,4.0,0.0,0.0
1278,CHP05663,紫茉莉根,2.2107331,3.0,3.0,1.0,0.0
1279,CHP05881,鸡内金,2.19649236,3.0,3.0,1.0,0.0
1280,CHP04577,香青兰,2.1821588,3.0,3.0,0.0,0.0
1281,CHP02983,牛蒡根,2.17921575,3.0,3.0,0.0,0.0
1282,CHP02159,昆明鸡血藤,2.17152626,3.0,3.0,1.0,0.0
1283,CHP00969,鄂报春,2.1656151599999998,3.0,3.0,1.0,0.0
